关键字,time,last,lastrank,lastheat,字段5
"""12315优先处理野生动物交易线索""",已有记录在榜时间约为 94 分钟,2020年02月27日18时41分,50,212764,
"""123所高校7924名医护人员支援武汉""",已有记录在榜时间约为 244 分钟,2020年02月12日21时47分,50,169151,
"""12地5136名医护人员奔赴武汉""",已有记录在榜时间约为 43 分钟,2020年02月10日03时16分,50,39236,
"""12日新增1485人驰援湖北""",已有记录在榜时间约为 182 分钟,2020年02月13日13时08分,49,141591,
"""13家快递企业恢复正常运营""",已有记录在榜时间约为 770 分钟,2020年02月11日08时23分,50,55636,
"""13省区市下调应急响应级别""",已有记录在榜时间约为 31 分钟,2020年02月26日13时20分,43,262259,新
"""14000吨中央储备猪肉投放市场""",已有记录在榜时间约为 242 分钟,2020年02月14日21时58分,50,169632,
,404 - Not Found,,,,
"""15000个武汉加油中国加油拼成钟南山""",已有记录在榜时间约为 348 分钟,2020年03月02日13时52分,50,168529,
"""15个国家和地区对韩国实施入境管制""",已有记录在榜时间约为 75 分钟,2020年02月24日16时29分,50,180430,新
"""15名澳籍乘客拒撤离钻石公主号""",已有记录在榜时间约为 113 分钟,2020年02月19日18时28分,50,201866,
"""15名聚众打牌者加入疫情防控队""",已有记录在榜时间约为 188 分钟,2020年02月13日21时39分,50,144091,
"""16省份一省包一市支援湖北""",已有记录在榜时间约为 533 分钟,2020年02月08日09时08分,50,99740,
"""16台ECMO从法兰克福运抵武汉""",已有记录在榜时间约为 124 分钟,2020年02月28日13时03分,50,285551,
"""170多个国家领导人向中国表示慰问支持""",已有记录在榜时间约为 381 分钟,2020年03月05日17时16分,35,268947,
"""18米长绳吊保温桶为民警送饭""",已有记录在榜时间约为 119 分钟,2020年02月07日00时58分,50,89203,
"""18岁和30岁的区别""",已有记录在榜时间约为 508 分钟,2020年02月24日23时17分,49,252757,
"""1917获最佳摄影""",已有记录在榜时间约为 31 分钟,2020年02月10日13时25分,41,423251,新
"""1917确认引进中国内地""",已有记录在榜时间约为 514 分钟,2020年02月11日00时21分,50,85217,
"""1分钟改造呼吸阀口罩""",已有记录在榜时间约为 238 分钟,2020年02月10日11时14分,49,302183,
"""19个月大新冠肺炎确诊宝宝出院""",已有记录在榜时间约为 121 分钟,2020年02月13日17时26分,50,134645,
"""1岁重型新冠肺炎宝宝康复出院""",已有记录在榜时间约为 259 分钟,2020年02月14日14时41分,50,129292,
"""1月24日前自愿退票不能补退手续费""",已有记录在榜时间约为 232 分钟,2020年02月12日17时08分,50,179564,
,404 - Not Found,,,,
"""1月份全国生猪生产稳步恢复""",已有记录在榜时间约为 508 分钟,2020年02月21日07时33分,50,40295,
"""2019年度中国科学十大进展""",已有记录在榜时间约为 42 分钟,2020年02月28日08时32分,50,149354,
"""2019年国民总收入超98万亿元""",已有记录在榜时间约为 31 分钟,2020年02月28日12时27分,44,298485,新
"""2019年国内生产总值990865亿元""",已有记录在榜时间约为 34 分钟,2020年02月28日11时30分,49,216365,新
"""2019年全国财政收入超19万亿元""",已有记录在榜时间约为 777 分钟,2020年02月11日08时30分,49,63967,
"""2019全国大陆总人口140005万人""",已有记录在榜时间约为 157 分钟,2020年02月28日14时58分,50,195456,
"""2019中国电视剧选集""",已有记录在榜时间约为 495 分钟,2020年02月17日21时37分,50,165354,
"""2020NBA全明星周末""",已有记录在榜时间约为 36 分钟,2020年02月17日13时21分,3,1141893,荐
"""2020MSI举办场地推迟公布""",已有记录在榜时间约为 31 分钟,2020年02月26日16时45分,42,280365,新
"""2020隔空告白""",已有记录在榜时间约为 18 分钟,2020年02月14日17时56分,6,1446843,
"""2020北京车展延期""",已有记录在榜时间约为 174 分钟,2020年02月18日10时01分,49,92102,
"""2020好起来""",已有记录在榜时间约为 22 分钟,2020年02月20日09时55分,3,3684063,荐
"""2020胡润全球富豪榜""",已有记录在榜时间约为 130 分钟,2020年02月26日13时27分,50,148460,
"""2020篮球名人堂最终候选名单""",已有记录在榜时间约为 189 分钟,2020年02月15日12时07分,50,185379,
"""2020年春季照大赛""",已有记录在榜时间约为 33 分钟,2020年03月03日15时05分,50,110203,新
"""2020年高考倒计时100天""",已有记录在榜时间约为 336 分钟,2020年02月27日20时39分,50,201516,
"""2020年普利兹克建筑奖""",已有记录在榜时间约为 32 分钟,2020年03月04日16时28分,45,218965,新
"""2020年全面建成北斗全球系统""",已有记录在榜时间约为 515 分钟,2020年03月03日07时22分,50,67602,
"""2020年上半年征兵工作推迟""",已有记录在榜时间约为 147 分钟,2020年02月29日04时52分,49,17198,
"""2020年应届高校毕业生有874万""",已有记录在榜时间约为 1010 分钟,2020年02月13日11时39分,35,284524,
"""2020年优秀运动员本科保送推荐名单""",已有记录在榜时间约为 136 分钟,2020年03月04日18时54分,50,188751,
"""2020年油价第二次下调""",已有记录在榜时间约为 31 分钟,2020年02月18日20时09分,38,335906,新
"""2020情人节的真实状态""",已有记录在榜时间约为 518 分钟,2020年02月15日07时18分,50,33773,
"""2020日内瓦车展正式取消""",已有记录在榜时间约为 32 分钟,2020年02月28日20时46分,45,267581,新
"""2020我们在一起""",已有记录在榜时间约为 141 分钟,2020年02月29日09时59分,3,3130595,荐
"""2020元气来""",已有记录在榜时间约为 22 分钟,2020年02月27日09时56分,3,2085411,荐
"""2020最想完成的flag""",已有记录在榜时间约为 32 分钟,2020年02月18日20时33分,42,294224,新
"""2020做更好的自己""",已有记录在榜时间约为 139 分钟,2020年02月26日09时52分,3,2765381,荐
"""2022世界杯主体育场钢结构完工""",已有记录在榜时间约为 36 分钟,2020年02月16日18时22分,50,134377,新
"""20多种新冠肺炎疫苗正在研发""",已有记录在榜时间约为 176 分钟,2020年02月29日11时09分,50,203987,
"""20家航空公司开通包机服务""",已有记录在榜时间约为 259 分钟,2020年02月23日07时15分,50,20905,
"""20来岁的真实状态""",已有记录在榜时间约为 820 分钟,2020年02月27日10时24分,50,183791,
"""22个一起等春天的瞬间""",已有记录在榜时间约为 18 分钟,2020年02月28日21时51分,6,1685912,荐
"""23岁伊朗女足国脚因新冠肺炎去世""",已有记录在榜时间约为 425 分钟,2020年02月28日18时55分,50,189402,
"""24365全天候网上校园招聘""",已有记录在榜时间约为 33 分钟,2020年02月28日13时32分,50,223460,新
"""24省区市新增病例为0""",已有记录在榜时间约为 77 分钟,2020年02月28日12时40分,50,158412,
"""24岁父母捂死女婴埋尸小区游乐场""",已有记录在榜时间约为 979 分钟,2020年02月23日07时44分,50,69299,
"""25辆负压救护车抵达武汉""",已有记录在榜时间约为 112 分钟,2020年02月07日17时52分,50,224127,
"""25种蔬菜价格下跌""",已有记录在榜时间约为 35 分钟,2020年03月05日20时12分,49,159590,新
"""26吨烟花运输车侧翻起火""",已有记录在榜时间约为 40 分钟,2020年03月04日19时04分,50,210801,新
"""26省区市新增病例为0""",已有记录在榜时间约为 61 分钟,2020年03月06日14时11分,46,166630,新
"""27省已恢复省际省内客运班线""",已有记录在榜时间约为 133 分钟,2020年02月25日22时54分,50,212248,
"""28名钻石公主号下船者出现发热等症状""",已有记录在榜时间约为 235 分钟,2020年02月25日22时14分,50,234139,
"""28年前南医大女生被杀案告破""",已有记录在榜时间约为 897 分钟,2020年02月24日14时23分,49,212982,
"""28省区市确诊病例0新增""",已有记录在榜时间约为 31 分钟,2020年03月04日12时51分,45,281340,新
"""28省区市新增病例为0""",已有记录在榜时间约为 31 分钟,2020年03月01日14时31分,42,271977,新
"""290人涉疫情犯罪被检察机关提起公诉""",已有记录在榜时间约为 171 分钟,2020年02月20日09时59分,50,195995,
"""294人涉疫情诈骗被抓""",已有记录在榜时间约为 296 分钟,2020年02月06日22时25分,50,215422,
"""29例外国公民在华确诊新冠肺炎""",已有记录在榜时间约为 120 分钟,2020年02月20日19时27分,50,189196,
"""29岁殉职女医生全家从医""",已有记录在榜时间约为 799 分钟,2020年02月24日07时51分,50,78555,
"""2次检测阴性出院后又确诊""",已有记录在榜时间约为 109 分钟,2020年02月19日18时26分,50,176691,
"""2月12日后境外入丹东人员核酸检测""",已有记录在榜时间约为 150 分钟,2020年03月03日10时42分,50,187024,
"""2月PMI""",已有记录在榜时间约为 49 分钟,2020年02月29日13时59分,49,176929,
"""2月份楼市成交量降八成""",已有记录在榜时间约为 86 分钟,2020年03月04日13时00分,50,278013,新
"""2月份申报纳税期限延长至2月28日""",已有记录在榜时间约为 578 分钟,2020年02月18日07时44分,50,49984,
"""2月已缴社保医保企业将按规定退抵""",已有记录在榜时间约为 259 分钟,2020年02月21日12时58分,33,481766,
,404 - Not Found,,,,
"""30后到00后的抗疫战士""",已有记录在榜时间约为 196 分钟,2020年03月01日16时04分,50,154022,
"""30岁的PlanB""",已有记录在榜时间约为 130 分钟,2020年02月22日10时00分,6,2749029,荐
"""31省份1月份彩票销量均下降""",已有记录在榜时间约为 75 分钟,2020年03月04日12时18分,50,120211,新
"""31省区市累计报告78824例新冠肺炎""",已有记录在榜时间约为 191 分钟,2020年02月28日11时30分,50,199036,
"""31省区市新增119例新冠肺炎病例""",已有记录在榜时间约为 177 分钟,2020年03月04日12时54分,50,186001,
"""31省区市新增125例新冠肺炎""",已有记录在榜时间约为 267 分钟,2020年03月03日13时12分,50,191450,
"""31省区市新增202例新冠肺炎""",已有记录在榜时间约为 140 分钟,2020年03月02日12时55分,50,224995,
"""31省区市新增433例新冠肺炎""",已有记录在榜时间约为 166 分钟,2020年02月27日12时23分,48,295939,
"""323名严重精神障碍患者确诊新冠肺炎""",已有记录在榜时间约为 472 分钟,2020年02月19日05时51分,4,150131,
"""328位名师在线授课""",已有记录在榜时间约为 266 分钟,2020年02月10日09时56分,3,2503710,荐
"""33位城乡社区工作者殉职""",已有记录在榜时间约为 41 分钟,2020年02月21日16时48分,50,186949,新
"""36岁医生抗疫时心脏骤停去世""",已有记录在榜时间约为 823 分钟,2020年03月02日08时22分,50,131603,
"""39岁民警抗疫一线牺牲""",已有记录在榜时间约为 31 分钟,2020年02月20日10时15分,42,250517,新
"""3CE春日元气玫瑰妆""",已有记录在榜时间约为 148 分钟,2020年03月07日09时33分,3,1300428,荐
"""3D打印的新冠肺炎病灶模型""",已有记录在榜时间约为 568 分钟,2020年03月03日08时35分,50,182901,
"""3分钟记录疫情下的中国城市""",已有记录在榜时间约为 155 分钟,2020年02月10日11时14分,46,317808,
"""3批共4000名军队医务人员驰援武汉""",已有记录在榜时间约为 80 分钟,2020年03月02日12时25分,50,198663,新
"""3月ACCA考试取消""",已有记录在榜时间约为 613 分钟,2020年02月14日07时23分,50,38096,
"""3月份纳税申报期限向后延长1周""",已有记录在榜时间约为 32 分钟,2020年03月03日17时59分,45,194466,新
"""3月起江苏初高中继续线上教学""",已有记录在榜时间约为 742 分钟,2020年02月22日06时31分,50,11263,
"""3月起明令禁止网络暴力人肉搜索""",已有记录在榜时间约为 937 分钟,2020年03月01日13时13分,50,182218,
"""3月上上签打卡""",已有记录在榜时间约为 238 分钟,2020年03月07日09时47分,3,1570203,荐
"""3月最想做的事""",已有记录在榜时间约为 32 分钟,2020年03月01日15时16分,42,265432,新
"""400万基层医疗卫生机构医务人员上阵""",已有记录在榜时间约为 32 分钟,2020年02月16日18时34分,50,117630,新
,404 - Not Found,,,,
"""41架包机近6000人同天抵达武汉""",已有记录在榜时间约为 1120 分钟,2020年02月11日08时07分,50,30742,
"""42天用6种身份与病毒较量""",已有记录在榜时间约为 323 分钟,2020年02月09日19时05分,50,137247,
"""4500多家企业哄抬口罩价格被查办""",已有记录在榜时间约为 152 分钟,2020年02月25日14时56分,50,208903,
"""46岁辅警抗疫战中牺牲""",已有记录在榜时间约为 31 分钟,2020年03月04日17时53分,43,248145,新
"""49岁辅警倒在防疫一线""",已有记录在榜时间约为 258 分钟,2020年02月12日00时36分,50,98642,
"""4次检测阴性第5次才确诊""",已有记录在榜时间约为 406 分钟,2020年02月13日16时37分,50,231648,
"""4颗北斗导航卫星接入系统""",已有记录在榜时间约为 31 分钟,2020年02月25日21时12分,45,256334,新
"""4颗新技术试验卫星发射成功""",已有记录在榜时间约为 461 分钟,2020年02月21日11时18分,置顶,,热
"""4邻国关闭与伊朗边境""",已有记录在榜时间约为 134 分钟,2020年02月24日16时41分,50,159890,
"""4名伊朗回中国乘客抵京后集中观察14天""",已有记录在榜时间约为 273 分钟,2020年03月01日12时22分,15,1137175,
"""4名由韩至渝重庆旅客因发热送诊""",已有记录在榜时间约为 48 分钟,2020年03月02日12时42分,50,298699,新
"""4人已接受康复者血浆治疗法""",已有记录在榜时间约为 528 分钟,2020年02月15日07时33分,48,40935,
"""4台ECMO设备运抵武汉""",已有记录在榜时间约为 214 分钟,2020年02月25日18时38分,50,172508,
"""4月8日将出现年度最大满月""",已有记录在榜时间约为 264 分钟,2020年02月28日19时01分,49,293011,
"""50多场马拉松受疫情影响""",已有记录在榜时间约为 193 分钟,2020年02月27日10时35分,48,225400,
"""50余名治愈患者集体出舱""",已有记录在榜时间约为 49 分钟,2020年02月21日12时32分,50,173399,新
"""51张手绘漫画记录方舱医护日常""",已有记录在榜时间约为 20 分钟,2020年03月02日22时24分,47,281824,新
"""56岁大叔风雪中守夜""",已有记录在榜时间约为 113 分钟,2020年02月16日21时49分,50,191591,
"""5名的哥凑钱为医护送20箱水果""",已有记录在榜时间约为 52 分钟,2020年02月28日12时45分,49,218716,新
"""600张照片记录ICU九死一生""",已有记录在榜时间约为 636 分钟,2020年03月06日07时28分,49,47290,
"""60分贝暖男医生离世""",已有记录在榜时间约为 291 分钟,2020年03月03日17时27分,49,223357,
"""62个国家7个国际组织向中国捐赠物资""",已有记录在榜时间约为 127 分钟,2020年03月05日13时47分,50,192332,
"""65岁的陈道明""",已有记录在榜时间约为 848 分钟,2020年03月05日10时48分,50,153923,
"""65岁女性自武汉返回42天后确诊""",已有记录在榜时间约为 74 分钟,2020年02月11日10时57分,50,112063,新
"""66岁重症患者8天快速康复""",已有记录在榜时间约为 247 分钟,2020年02月09日14时54分,50,145502,
"""67个国家报告新冠肺炎确诊病例""",已有记录在榜时间约为 137 分钟,2020年02月29日17时44分,49,158095,
"""67台ECMO发往湖北""",已有记录在榜时间约为 142 分钟,2020年03月04日19时48分,49,233202,
"""6邻国承诺不封锁意大利边境""",已有记录在榜时间约为 303 分钟,2020年02月26日19时38分,50,184601,
"""6毛进价口罩卖1元被罚将重启调查""",已有记录在榜时间约为 889 分钟,2020年02月14日08时10分,48,86746,
"""6毛口罩卖1元平时售价几分钱""",已有记录在榜时间约为 419 分钟,2020年02月15日18时22分,50,158890,
"""6省应急响应级别降低""",已有记录在榜时间约为 252 分钟,2020年02月24日20时09分,50,178304,
"""6岁哥哥开导4岁弟弟""",已有记录在榜时间约为 368 分钟,2020年02月23日17时54分,50,172529,
"""6旬保安给隔离日本业主当翻译""",已有记录在榜时间约为 204 分钟,2020年02月28日16时18分,49,197895,
"""6种情况不应该进行消毒""",已有记录在榜时间约为 168 分钟,2020年03月02日19时00分,49,194316,
"""70岁大爷委托医生送玫瑰给老伴""",已有记录在榜时间约为 50 分钟,2020年02月23日14时23分,50,114154,新
"""71岁老华侨买4万个口罩捐祖国""",已有记录在榜时间约为 205 分钟,2020年02月23日16时21分,50,197622,
"""76人vs湖人""",已有记录在榜时间约为 35 分钟,2020年03月04日13时38分,50,118643,新
"""78国累计确诊14942例新冠肺炎""",已有记录在榜时间约为 53 分钟,2020年03月05日17时23分,48,214439,新
"""7个检测试剂获批上市""",已有记录在榜时间约为 31 分钟,2020年02月15日20时19分,41,229714,新
"""7类返京人群免隔离14天""",已有记录在榜时间约为 719 分钟,2020年02月22日08时04分,50,94871,
"""7名护士妈妈集体断奶奔赴一线""",已有记录在榜时间约为 244 分钟,2020年02月07日20时16分,50,208911,
"""未能够检索到数据""",已有记录在榜时间约为 0 分钟,,,,
"""80国对韩采取入境管制""",已有记录在榜时间约为 227 分钟,2020年03月03日16时16分,50,133450,
"""80名中国公民在俄隔离遭虐待不实""",已有记录在榜时间约为 473 分钟,2020年03月01日17时20分,34,262383,
"""80岁出院老伯含泪感谢解放军""",已有记录在榜时间约为 54 分钟,2020年03月01日12时11分,50,206255,新
"""80岁的双语播音员""",已有记录在榜时间约为 259 分钟,2020年03月03日20时14分,50,157791,
"""80万只医用N95级口罩运至武汉""",已有记录在榜时间约为 532 分钟,2020年02月15日08时09分,50,67290,
"""84岁老人为武汉捐10万元""",已有记录在榜时间约为 47 分钟,2020年02月09日22时22分,50,210871,新
"""84消毒液不能携带乘机和托运""",已有记录在榜时间约为 218 分钟,2020年02月17日18时55分,50,120581,
"""84消毒液是怎么来的""",已有记录在榜时间约为 305 分钟,2020年02月29日13时39分,50,176717,
"""87岁老人为抗疫捐出20万""",已有记录在榜时间约为 235 分钟,2020年02月11日07时21分,49,24073,
"""8日北京新发病例活动场所""",已有记录在榜时间约为 184 分钟,2020年02月09日19时54分,50,166344,
"""90后和00后之间的代沟""",已有记录在榜时间约为 11 分钟,2020年03月06日12时53分,40,375595,新
"""90后女孩建群为医生搭驿站""",已有记录在榜时间约为 227 分钟,2020年02月08日15时05分,50,170489,
"""90后外卖小哥镜头里的武汉""",已有记录在榜时间约为 304 分钟,2020年02月09日19时27分,50,205844,
"""90后消防员12天转运360吨医疗废水""",已有记录在榜时间约为 65 分钟,2020年03月04日10时44分,49,132950,新
"""90后医护夫妻偶遇却不敢拥抱""",已有记录在榜时间约为 148 分钟,2020年02月17日21时00分,50,211495,
"""90后音乐老师变身志愿者""",已有记录在榜时间约为 114 分钟,2020年02月22日16时12分,50,184227,
"""9262名贫困生收到平板电脑上网课""",已有记录在榜时间约为 267 分钟,2020年03月06日18时26分,50,206684,
"""930万贫困人口已实现易地搬迁""",已有记录在榜时间约为 520 分钟,2020年03月04日07时56分,50,98604,
"""93岁老人在防护服上画画留念""",已有记录在榜时间约为 32 分钟,2020年03月02日17时20分,41,224953,新
"""94岁母亲举报65岁女儿聚众打麻将""",已有记录在榜时间约为 764 分钟,2020年02月20日07时49分,48,86199,
"""95后辅警牺牲抗疫一线""",已有记录在榜时间约为 225 分钟,2020年02月26日12时31分,50,157147,
"""95后火神山小护士""",已有记录在榜时间约为 245 分钟,2020年03月03日13时58分,49,212463,
"""95后男护士病房内带患者打太极""",已有记录在榜时间约为 291 分钟,2020年02月13日14时45分,50,132338,
"""95后男护士郑益欢""",已有记录在榜时间约为 160 分钟,2020年02月27日15时05分,49,259823,
"""95后治愈者说收获大于痛苦""",已有记录在榜时间约为 58 分钟,2020年02月25日13时37分,49,317652,新
"""95岁清华物理系教授直播授课""",已有记录在榜时间约为 268 分钟,2020年02月20日22时31分,50,154003,
"""96岁新冠肺炎患者治愈出院""",已有记录在榜时间约为 210 分钟,2020年02月14日16时05分,50,167627,
"""98岁老人和女儿外孙女一同出院""",已有记录在榜时间约为 148 分钟,2020年03月03日21时42分,50,220905,
"""98岁新冠肺炎患者成功治愈""",已有记录在榜时间约为 266 分钟,2020年02月15日20时46分,50,140539,
"""9例重症患者血浆抗体治疗效果显著""",已有记录在榜时间约为 292 分钟,2020年02月15日23时46分,50,232621,
"""9日北京新发病例活动场所""",已有记录在榜时间约为 173 分钟,2020年02月10日21时30分,50,158210,
"""9岁男孩山坡搭棚上网课""",已有记录在榜时间约为 117 分钟,2020年03月03日12时07分,50,197404,
"""9岁女孩 我替武汉谢谢你们""",已有记录在榜时间约为 1178 分钟,2020年03月07日08时36分,34,148052,
"""AirPods防丢指南""",已有记录在榜时间约为 331 分钟,2020年03月03日21时13分,48,217274,
"""AI测温""",已有记录在榜时间约为 119 分钟,2020年02月07日19时15分,50,198262,
"""AI防疫师""",已有记录在榜时间约为 32 分钟,2020年02月12日15时56分,44,268626,新
"""Ame转入CDEC""",已有记录在榜时间约为 214 分钟,2020年02月07日19时55分,50,183161,
"""Angelababy精灵造型""",已有记录在榜时间约为 501 分钟,2020年02月17日19时49分,50,179840,
"""Angelababy植物系封面""",已有记录在榜时间约为 391 分钟,2020年02月26日19时19分,50,219049,
"""Apple Watch或将配置Touch ID""",已有记录在榜时间约为 233 分钟,2020年02月07日22时43分,50,163312,
"""AXX 厉害""",已有记录在榜时间约为 607 分钟,2020年02月14日09时05分,50,172995,
"""AYLA""",已有记录在榜时间约为 388 分钟,2020年02月09日15时16分,50,177985,
"""A股""",已有记录在榜时间约为 771 分钟,2020年03月10日18时17分,50,116443,
"""BLACKPINK 韩版VOGUE""",已有记录在榜时间约为 370 分钟,2020年02月16日19时58分,50,158474,
"""BLACKPINK杂志怼脸拍""",已有记录在榜时间约为 368 分钟,2020年02月24日18时48分,50,173586,
"""BTS新歌和Sia合作""",已有记录在榜时间约为 457 分钟,2020年02月17日07时07分,50,36653,
"""B站直播崩了""",已有记录在榜时间约为 210 分钟,2020年02月16日00时24分,49,201014,
"""C919大飞机复工""",已有记录在榜时间约为 51 分钟,2020年03月03日04时46分,50,14377,
"""COSMO三月刊封面""",已有记录在榜时间约为 364 分钟,2020年02月12日17时48分,50,172023,
"""COVID-19""",已有记录在榜时间约为 300 分钟,2020年02月12日14时14分,50,194799,
"""COVID-19命名现场画面""",已有记录在榜时间约为 183 分钟,2020年02月12日12时27分,50,176355,
"""CSGO""",已有记录在榜时间约为 126 分钟,2020年03月02日13时12分,50,216810,
"""CT筛选或将成诊断首选""",已有记录在榜时间约为 135 分钟,2020年02月07日22时10分,50,219555,
"""C罗点球绝平""",已有记录在榜时间约为 56 分钟,2020年02月14日11时36分,45,303649,新
"""C罗观看国家德比""",已有记录在榜时间约为 85 分钟,2020年03月02日09时40分,50,127771,新
"""C罗母亲中风被紧急送医""",已有记录在榜时间约为 579 分钟,2020年03月04日08时39分,50,169329,
"""C罗为中国祈祷""",已有记录在榜时间约为 45 分钟,2020年02月20日11时18分,50,192274,新
"""C罗意甲连续11场破门""",已有记录在榜时间约为 20 分钟,2020年02月23日15时38分,42,273581,新
"""DAU""",已有记录在榜时间约为 75 分钟,2020年02月27日15时58分,50,205112,新
"""dmzj""",已有记录在榜时间约为 855 分钟,2020年03月05日12时07分,49,180678,
"""Doinb""",已有记录在榜时间约为 402 分钟,2020年02月25日14时52分,50,197594,
"""Doinb直播落泪""",已有记录在榜时间约为 365 分钟,2020年02月26日20时21分,50,166507,
"""emoji猜电影""",已有记录在榜时间约为 182 分钟,2020年02月09日17时53分,50,182331,
"""euamoter""",已有记录在榜时间约为 561 分钟,2020年02月15日09时56分,50,141810,
"""F1澳大利亚站如期举行""",已有记录在榜时间约为 31 分钟,2020年03月02日19时23分,44,246974,新
"""F1中国站延期""",已有记录在榜时间约为 35 分钟,2020年02月12日21时40分,50,116857,新
"""Facebook西雅图员工确诊""",已有记录在榜时间约为 184 分钟,2020年03月05日20时45分,50,144337,
"""Facebook员工感染新冠病毒""",已有记录在榜时间约为 210 分钟,2020年03月06日14时31分,50,161537,
"""Faker2000杀""",已有记录在榜时间约为 578 分钟,2020年03月06日07时04分,48,31730,
"""Faker成为T1股东""",已有记录在榜时间约为 304 分钟,2020年02月18日15时48分,50,124033,
"""Gigi的脸""",已有记录在榜时间约为 912 分钟,2020年02月23日12时57分,50,143859,
"""Gosh 脏班子""",已有记录在榜时间约为 247 分钟,2020年03月04日11时30分,50,156806,
"""GQ 曾鸣""",已有记录在榜时间约为 511 分钟,2020年02月29日07时12分,50,31193,
"""GQ 何瑫""",已有记录在榜时间约为 95 分钟,2020年02月20日21时46分,49,213859,
"""hey jude万能公式唱法""",已有记录在榜时间约为 426 分钟,2020年02月15日19时52分,50,168134,
"""Hi宅家干嘛呢""",已有记录在榜时间约为 28 分钟,2020年02月19日05时51分,3,174204,荐
"""ICON来了""",已有记录在榜时间约为 125 分钟,2020年02月25日09时41分,6,1850738,荐
"""iKON回归""",已有记录在榜时间约为 265 分钟,2020年02月06日22时37分,50,254194,
,404 - Not Found,,,,
"""iPhoneXR出货量全球第一""",已有记录在榜时间约为 321 分钟,2020年02月27日16时08分,49,218135,
"""iPhone摄像头韩国工厂关闭""",已有记录在榜时间约为 367 分钟,2020年03月02日20时01分,49,192958,
"""iQOO 3来了""",已有记录在榜时间约为 133 分钟,2020年02月26日09时48分,3,2927035,荐
"""IU 爱的迫降OST""",已有记录在榜时间约为 741 分钟,2020年02月16日06时43分,50,18144,
"""IZONE 一位""",已有记录在榜时间约为 174 分钟,2020年02月26日01时42分,50,34906,
"""IZONE回归""",已有记录在榜时间约为 195 分钟,2020年02月17日18时21分,45,216891,
"""IZONE回归预告""",已有记录在榜时间约为 31 分钟,2020年02月13日22时18分,42,397821,新
"""IZONE主打曲FIESTA MV""",已有记录在榜时间约为 33 分钟,2020年02月17日18时57分,50,114885,新
"""JonyJ当爸""",已有记录在榜时间约为 476 分钟,2020年02月29日21时46分,50,155823,
"""JR为湖人试训""",已有记录在榜时间约为 309 分钟,2020年03月03日08时10分,49,131688,
"""KPL创造大赛""",已有记录在榜时间约为 20 分钟,2020年02月21日17时52分,6,871852,荐
"""LadyGaga新专""",已有记录在榜时间约为 28 分钟,2020年02月28日14时03分,42,267623,新
"""Lami ins""",已有记录在榜时间约为 280 分钟,2020年02月25日20时06分,50,191197,
"""LCK停赛""",已有记录在榜时间约为 39 分钟,2020年03月03日15时46分,50,246852,新
"""LGD晋级""",已有记录在榜时间约为 51 分钟,2020年02月13日19时16分,50,160396,新
"""LG出售中国总部大楼""",已有记录在榜时间约为 1047 分钟,2020年02月11日12时56分,49,166218,
